時間割番号,科目区分,時間割名,曜日時限,教員名,対象学生,適正人数,全登録数,優先指定,第１希望,第２希望,第３希望,第４希望,第５希望
7441g.023,言語科目Ａ,ロシア語Ａ４－１,木4,BONDARENKOOXANA,全学生,30,2,1,2,0,0,0,0
74420.031,言語科目Ｂ,ロシア語Ｂ,木2,BONDARENKOOXANA,２年以上限定,30,2,0,2,0,0,0,0
74420.034,言語科目Ｂ,ロシア語Ｂ,木1,BONDARENKOOXANA,２年以上限定,30,2,0,2,0,0,0,0
7442a.032,言語科目Ｂ,ロシア語Ｂ－１,木2,BONDARENKOOXANA,２年以上限定,30,2,0,2,0,0,0,0
7442a.035,言語科目Ｂ,ロシア語Ｂ－１,木1,BONDARENKOOXANA,２年以上限定,30,2,0,2,0,0,0,0
74430.040,言語科目Ｃ,ロシア語Ｃ,木5,BONDARENKOOXANA,３年以上限定,30,0,0,0,0,0,0,0
7443a.041,言語科目Ｃ,ロシア語Ｃ－１,木5,BONDARENKOOXANA,３年以上限定,30,0,0,0,0,0,0,0
74513.016,言語科目Ａ,中国語Ａ３,月1,西村　英希,全学生,30,11,0,11,0,0,0,0
74513.A01,言語科目Ａ,中国語Ａ３,火2,上田　望,１年人文，法，国際優先,30,28,0,28,0,0,0,0
74513.A02,言語科目Ａ,中国語Ａ３,火2,加納　希美,１年人文，法，国際優先,30,30,0,30,0,0,0,0
74513.A03,言語科目Ａ,中国語Ａ３,火2,西村　英希,１年人文，法，国際優先,30,19,0,19,0,0,0,0
74513.B04,言語科目Ａ,中国語Ａ３,火3,村田　順子,１年先導・観光デザイン・経済・総合（文）優先,30,28,0,28,0,0,0,0
74513.B05,言語科目Ａ,中国語Ａ３,火3,山田　從子,１年先導・観光デザイン・経済・総合（文）優先,30,15,0,15,0,0,0,0
74513.B06,言語科目Ａ,中国語Ａ３,火3,西村　英希,１年先導・観光デザイン・経済・総合（文）優先,30,29,0,29,0,0,0,0
74513.C07,言語科目Ａ,中国語Ａ３,水3,西村　英希,１年地域優先,30,28,0,28,0,0,0,0
74514.025,言語科目Ａ,中国語Ａ４,水5,趙　菁,全学生,30,7,0,7,0,0,0,0
74514.A01,言語科目Ａ,中国語Ａ４,木3,艾　玉霞,１年人文，法，国際優先,30,29,0,29,0,0,0,0
74514.A02,言語科目Ａ,中国語Ａ４,木3,趙　菁,１年人文，法，国際優先,30,30,0,30,0,0,0,0
74514.A03,言語科目Ａ,中国語Ａ４,木3,李　偉,１年人文，法，国際優先,30,21,0,19,2,0,0,0
74514.B04,言語科目Ａ,中国語Ａ４,水3,艾　玉霞,１年先導・観光デザイン・経済・総合（文）優先,30,29,0,29,0,0,0,0
74514.B05,言語科目Ａ,中国語Ａ４,水3,趙　菁,１年先導・観光デザイン・経済・総合（文）優先,30,17,0,17,0,0,0,0
74514.B06,言語科目Ａ,中国語Ａ４,水3,李　偉,１年先導・観光デザイン・経済・総合（文）優先,30,29,0,28,1,0,0,0
74514.C07,言語科目Ａ,中国語Ａ４,木4,趙　菁,１年地域優先,30,28,0,28,0,0,0,0
7451e.017,言語科目Ａ,中国語Ａ３－１,月1,西村　英希,全学生,30,11,0,11,0,0,0,0
7451e.A01,言語科目Ａ,中国語Ａ３－１,火2,上田　望,１年人文，法，国際優先,30,28,0,28,0,0,0,0
7451e.A02,言語科目Ａ,中国語Ａ３－１,火2,加納　希美,１年人文，法，国際優先,30,30,0,30,0,0,0,0
7451e.A03,言語科目Ａ,中国語Ａ３－１,火2,西村　英希,１年人文，法，国際優先,30,19,0,19,0,0,0,0
7451e.B04,言語科目Ａ,中国語Ａ３－１,火3,村田　順子,１年先導・観光デザイン・経済・総合（文）優先,30,28,0,28,0,0,0,0
7451e.B05,言語科目Ａ,中国語Ａ３－１,火3,山田　從子,１年先導・観光デザイン・経済・総合（文）優先,30,15,0,15,0,0,0,0
7451e.B06,言語科目Ａ,中国語Ａ３－１,火3,西村　英希,１年先導・観光デザイン・経済・総合（文）優先,30,29,0,29,0,0,0,0
7451e.C07,言語科目Ａ,中国語Ａ３－１,水3,西村　英希,１年地域優先,30,28,0,28,0,0,0,0
7451g.026,言語科目Ａ,中国語Ａ４－１,水5,趙　菁,全学生,30,7,0,7,0,0,0,0
7451g.A01,言語科目Ａ,中国語Ａ４－１,木3,艾　玉霞,１年人文，法，国際優先,30,29,0,29,0,0,0,0
7451g.A02,言語科目Ａ,中国語Ａ４－１,木3,趙　菁,１年人文，法，国際優先,30,30,0,30,0,0,0,0
7451g.A03,言語科目Ａ,中国語Ａ４－１,木3,李　偉,１年人文，法，国際優先,30,21,0,19,2,0,0,0
7451g.B04,言語科目Ａ,中国語Ａ４－１,水3,艾　玉霞,１年先導・観光デザイン・経済・総合（文）優先,30,29,0,29,0,0,0,0
7451g.B05,言語科目Ａ,中国語Ａ４－１,水3,趙　菁,１年先導・観光デザイン・経済・総合（文）優先,30,17,0,17,0,0,0,0
7451g.B06,言語科目Ａ,中国語Ａ４－１,水3,李　偉,１年先導・観光デザイン・経済・総合（文）優先,30,29,0,28,1,0,0,0
7451g.C07,言語科目Ａ,中国語Ａ４－１,木4,趙　菁,１年地域優先,30,28,0,28,0,0,0,0
74530.058,言語科目Ｃ,中国語Ｃ,水5,QI　HUA,３年以上限定,30,0,0,0,0,0,0,0
7453a.059,言語科目Ｃ,中国語Ｃ－１,水5,QI　HUA,３年以上限定,30,0,0,0,0,0,0,0
74613.028,言語科目Ａ,朝鮮語Ａ３,月4,CHOIJUNGAH,全学生,30,20,1,20,0,0,0,0
74613.031,言語科目Ａ,朝鮮語Ａ３,火2,CHOIJUNGAH,全学生,30,15,0,13,2,0,0,0
74613.034,言語科目Ａ,朝鮮語Ａ３,火3,CHOIJUNGAH,全学生,30,32,6,31,1,0,0,0
74613.037,言語科目Ａ,朝鮮語Ａ３,水2,宋　有宰,全学生,30,43,35,42,1,0,0,0
74614.043,言語科目Ａ,朝鮮語Ａ４,水3,宋　有宰,全学生,30,28,1,28,0,0,0,0
74614.046,言語科目Ａ,朝鮮語Ａ４,木3,宋　有宰,全学生,30,31,9,31,0,0,0,0
74614.049,言語科目Ａ,朝鮮語Ａ４,木2,宋　有宰,全学生,30,28,3,27,1,0,0,0
74614.052,言語科目Ａ,朝鮮語Ａ４,木4,宋　有宰,全学生,30,20,4,20,0,0,0,0
7461e.C09,言語科目Ａ,朝鮮語Ａ３－１,月4,CHOIJUNGAH,全学生,30,20,1,20,0,0,0,0
7461e.C10,言語科目Ａ,朝鮮語Ａ３－１,火2,CHOIJUNGAH,全学生,30,15,0,13,2,0,0,0
7461e.C11,言語科目Ａ,朝鮮語Ａ３－１,火3,CHOIJUNGAH,全学生,30,32,6,31,1,0,0,0
7461e.C12,言語科目Ａ,朝鮮語Ａ３－１,水2,宋　有宰,全学生,30,43,35,42,1,0,0,0
7461g.D13,言語科目Ａ,朝鮮語Ａ４－１,水3,宋　有宰,全学生,30,28,1,28,0,0,0,0
7461g.D14,言語科目Ａ,朝鮮語Ａ４－１,木3,宋　有宰,全学生,30,31,9,31,0,0,0,0
7461g.D15,言語科目Ａ,朝鮮語Ａ４－１,木2,宋　有宰,全学生,30,28,3,27,1,0,0,0
7461g.D16,言語科目Ａ,朝鮮語Ａ４－１,木4,宋　有宰,全学生,30,20,4,20,0,0,0,0
74620.061,言語科目Ｂ,朝鮮語Ｂ,火5,CHOIJUNGAH,２年以上限定,30,1,0,1,0,0,0,0
74620.064,言語科目Ｂ,朝鮮語Ｂ,水4,宋　有宰,２年以上限定,30,1,0,1,0,0,0,0
7462a.062,言語科目Ｂ,朝鮮語Ｂ－１,火5,CHOIJUNGAH,２年以上限定,30,1,0,1,0,0,0,0
7462a.065,言語科目Ｂ,朝鮮語Ｂ－１,水4,宋　有宰,２年以上限定,30,1,0,1,0,0,0,0
74630.076,言語科目Ｃ,朝鮮語Ｃ,水5,CHOIJUNGAH,２年以上限定,30,0,0,0,0,0,0,0
7463a.077,言語科目Ｃ,朝鮮語Ｃ－１,水5,CHOIJUNGAH,２年以上限定,30,0,0,0,0,0,0,0
74712,言語科目Ａ,ギリシア語Ａ２,月1,入江　浩司,全学生,30,8,1,7,1,0,0,0
74714,言語科目Ａ,ギリシア語Ａ４,金5,入江　浩司,２年以上優先,30,2,1,2,0,0,0,0
7471c,言語科目Ａ,ギリシア語Ａ２－１,月1,入江　浩司,全学生,30,8,1,7,1,0,0,0
7471g,言語科目Ａ,ギリシア語Ａ４－１,金5,入江　浩司,２年以上優先,30,2,1,2,0,0,0,0
74730,言語科目Ｃ,ギリシア語Ｃ,月2,三浦　要,３年以上優先,30,0,0,0,0,0,0,0
7473a,言語科目Ｃ,ギリシア語Ｃ－１,月2,三浦　要,３年以上優先,30,0,0,0,0,0,0,0
74812.010,言語科目Ａ,ラテン語Ａ２,月5,RUNNERJACOBWAYNE,全学生,30,12,1,12,0,0,0,0
74814.016,言語科目Ａ,ラテン語Ａ４,水3,西村　周浩,２年以上優先,30,3,0,3,0,0,0,0
7481c.011,言語科目Ａ,ラテン語Ａ２－１,月5,RUNNERJACOBWAYNE,全学生,30,12,1,12,0,0,0,0
7481g.017,言語科目Ａ,ラテン語Ａ４－１,水3,西村　周浩,２年以上優先,30,3,0,3,0,0,0,0
74830,言語科目Ｃ,ラテン語Ｃ,月5,寺嶋　雅彦,３年以上優先,30,0,0,0,0,0,0,0
7483a,言語科目Ｃ,ラテン語Ｃ－１,月5,寺嶋　雅彦,３年以上優先,30,0,0,0,0,0,0,0
74853.A01,言語科目Ａ,スペイン語Ａ３,火2,雄谷　ソニア　啓子,人文・法・国際限定，1年生優先,35,30,0,30,0,0,0,0
74853.B02,言語科目Ａ,スペイン語Ａ３,火3,雄谷　ソニア　啓子,経済・地域・総合（文）限定，1年生優先,35,30,0,30,0,0,0,0
74853.C01,言語科目Ａ,スペイン語Ａ３,火3,TORRAREVENTOSMARIADELAMERCE,１年先導，観光デザイン人社学域・総合（文）優先,35,28,0,28,0,0,0,0
74854.A01,言語科目Ａ,スペイン語Ａ４,木3,雄谷　ソニア　啓子,人文・法・国際限定，1年生優先,35,30,0,30,0,0,0,0
74854.B02,言語科目Ａ,スペイン語Ａ４,木4,雄谷　ソニア　啓子,経済・地域・総合（文）限定，1年生優先,35,30,0,30,0,0,0,0
74854.C01,言語科目Ａ,スペイン語Ａ４,木4,TORRAREVENTOSMARIADELAMERCE,１年先導，観光デザイン人社学域・総合（文）優先,35,29,0,29,0,0,0,0
7485e.A01,言語科目Ａ,スペイン語Ａ３－１,火2,雄谷　ソニア　啓子,人文・法・国際限定，1年生優先,35,30,0,30,0,0,0,0
7485e.B02,言語科目Ａ,スペイン語Ａ３－１,火3,雄谷　ソニア　啓子,経済・地域・総合（文）限定，1年生優先,35,30,0,30,0,0,0,0
7485e.C01,言語科目Ａ,スペイン語Ａ３－１,火3,TORRAREVENTOSMARIADELAMERCE,１年先導，観光デザイン人社学域・総合（文）優先,35,28,0,28,0,0,0,0
7485g.A01,言語科目Ａ,スペイン語Ａ４－１,木3,雄谷　ソニア　啓子,人文・法・国際限定，1年生優先,35,30,0,30,0,0,0,0
7485g.B02,言語科目Ａ,スペイン語Ａ４－１,木4,雄谷　ソニア　啓子,経済・地域・総合（文）限定，1年生優先,35,30,0,30,0,0,0,0
7485g.C01,言語科目Ａ,スペイン語Ａ４－１,木4,TORRAREVENTOSMARIADELAMERCE,１年先導，観光デザイン人社学域・総合（文）優先,35,29,0,29,0,0,0,0
74870.007,言語科目Ｃ,スペイン語Ｃ,木5,雄谷　ソニア　啓子,２年以上限定,30,2,0,2,0,0,0,0
74870.010,言語科目Ｃ,スペイン語Ｃ,火5,雄谷　ソニア　啓子,２年以上限定,30,2,0,2,0,0,0,0
7487a.008,言語科目Ｃ,スペイン語Ｃ－１,木5,雄谷　ソニア　啓子,２年以上限定,30,2,0,2,0,0,0,0
7487a.011,言語科目Ｃ,スペイン語Ｃ－１,火5,雄谷　ソニア　啓子,２年以上限定,30,2,0,2,0,0,0,0
74A01.322,ＧＳ科目,地域社会と文化人類学,火2,大澤　隆将,全学生（総合教育部学生優先）,70,107,20,68,33,4,2,0
74A01.324,ＧＳ科目,地域社会と文化人類学（英語クラス）,火4,大澤　隆将,全学生（総合教育部学生優先）,35,27,8,20,5,2,0,0
74A01.333,ＧＳ科目,地域社会と文化人類学（英語クラス）,水3,大澤　隆将,全学生（総合教育部学生優先）,35,17,2,12,3,2,0,0
74A01.335,ＧＳ科目,地域社会と文化人類学,水5,大澤　隆将,全学生（総合教育部学生優先）,70,79,11,48,26,3,2,0
74A01.342,ＧＳ科目,地域社会と文化人類学,木2,大澤　隆将,全学生（総合教育部学生優先）,70,188,54,126,46,9,5,2
74A01.344,ＧＳ科目,地域社会と文化人類学（英語クラス）,木4,大澤　隆将,全学生（総合教育部学生優先）,35,13,1,6,4,2,1,0
74A01.352,ＧＳ科目,地域社会と文化人類学,金2,大澤　隆将,全学生（総合教育部学生優先）,70,340,131,322,15,3,0,0
74B00a.344,ＧＳ科目,日本史・日本文化,木4,PHILLIPPSJEREMYDAVID,全学生（総合教育部学生優先）,90,244,138,197,36,10,0,1
74B00a.353,ＧＳ科目,日本史・日本文化,金3,PHILLIPPSJEREMYDAVID,全学生（総合教育部学生優先）,90,344,176,320,24,0,0,0
74B00a.354,ＧＳ科目,日本史・日本文化（英語クラス）,金4,PHILLIPPSJEREMYDAVID,全学生（総合教育部学生優先）,90,53,4,48,5,0,0,0
74C00a.312,ＧＳ科目,異文化間コミュニケーション,月2,小林　恵美子,全学生（総合教育部学生優先）,52,158,62,125,30,3,0,0
74C00a.322,ＧＳ科目,異文化間コミュニケーション,火2,小林　恵美子,全学生（総合教育部学生優先）,52,91,23,60,22,5,3,1
74C00a.334,ＧＳ科目,異文化間コミュニケーション,水4,岸田　由美,全学生（総合教育部学生優先）,52,206,77,166,31,8,1,0
74D00b.324,ＧＳ科目,異文化体験,火4,小笠原　知子,全学生（総合教育部学生優先）,50,56,5,35,18,2,1,0
74D00b.332,ＧＳ科目,異文化体験（英語クラス）,水2,小笠原　知子,全学生（総合教育部学生優先）,50,45,3,32,9,4,0,0
74E01.224,ＧＳ科目,グローバル時代の国際協力,水5,渡辺　敦子,全学生（総合教育部学生優先）,80,126,16,94,28,3,0,1
74E01.342,ＧＳ科目,グローバル時代の国際協力（英語クラス）,木2,渡辺　敦子,全学生（総合教育部学生優先）,30,23,3,13,4,5,1,0
74E01.344,ＧＳ科目,グローバル時代の国際協力,木4,渡辺　敦子,全学生（総合教育部学生優先）,80,182,44,113,56,11,1,1
74E01.351,ＧＳ科目,グローバル時代の国際協力（英語クラス）,金1,渡辺　敦子,全学生（総合教育部学生優先）,30,8,2,8,0,0,0,0
74E01.355,ＧＳ科目,グローバル時代の国際協力,金5,渡辺　敦子,全学生（総合教育部学生優先）,80,103,24,86,16,1,0,0
74F00a.323,ＧＳ科目,グローバル社会と地域の課題,木3,井出　明,全学生（総合教育部学生優先）,99,84,10,58,20,6,0,0
74F00a.324,ＧＳ科目,グローバル社会と地域の課題,火4,井出　明,全学生（総合教育部学生優先）,99,38,6,21,13,3,0,1
74F00a.325,ＧＳ科目,グローバル社会と地域の課題,火5,井出　明,全学生（総合教育部学生優先）,99,6,1,5,1,0,0,0
74F00a.335,ＧＳ科目,グローバル社会と地域の課題（英語クラス）,水5,井出　明,全学生（総合教育部学生優先）,99,1,0,1,0,0,0,0
74F00a.344,ＧＳ科目,グローバル社会と地域の課題,木4,井出　明,全学生（総合教育部学生優先）,99,21,0,11,7,2,1,0
75A10a.324,ＧＳ科目,科学技術と科学方法論（英語クラス）,火4,垣内　康孝,全学生（総合教育部学生優先）,96,11,3,10,1,0,0,0
75A10a.334,ＧＳ科目,科学技術と科学方法論（英語クラス）,水4,垣内　康孝,全学生（総合教育部学生優先）,96,13,1,9,3,1,0,0
75A10a.344,ＧＳ科目,科学技術と科学方法論（英語クラス）,木4,垣内　康孝,全学生（総合教育部学生優先）,96,5,1,2,3,0,0,0
75A10a.34a,ＧＳ科目,科学技術と科学方法論,木4,大西　元,全学生（総合教育部学生優先）,48,130,54,107,16,6,1,0
75B10a.311,ＧＳ科目,統計学から未来を見る（英語クラス）,月1,松浦　義昭,全学生（総合教育部学生優先）,10,19,6,14,5,0,0,0
75D20a.312,ＧＳ科目,環境学とESD,月2,花本　征也,全学生（総合教育部学生優先）,65,173,72,144,29,0,0,0
75D20a.323,ＧＳ科目,環境学とESD,火3,河内　幾帆,全学生（総合教育部学生優先）,99,275,116,222,47,6,0,0
75D20a.324,ＧＳ科目,環境学とESD,火4,河内　幾帆,全学生（総合教育部学生優先）,99,209,87,164,39,6,0,0
75D20a.333,ＧＳ科目,環境学とESD,水3,河内　幾帆,全学生（総合教育部学生優先）,99,217,83,157,51,8,1,0
75D20a.334,ＧＳ科目,環境学とESD（英語クラス）,水4,河内　幾帆,全学生（総合教育部学生優先）,25,9,1,4,3,2,0,0
75E20a.322,ＧＳ科目,生活と社会保障,火2,尹　一喜,全学生（総合教育部学生優先）,90,67,6,29,23,10,5,0
75E20a.323,ＧＳ科目,生活と社会保障,火3,尹　一喜,全学生（総合教育部学生優先）,90,230,61,154,66,8,2,0
75E20a.334,ＧＳ科目,生活と社会保障,水4,尹　一喜,全学生（総合教育部学生優先）,90,223,65,168,45,6,3,1
75F21.323,ＧＳ科目,現代社会と人権,火3,飯田　玲子,全学生（総合教育部学生優先）,80,173,31,105,55,11,1,1
75F21.325,ＧＳ科目,現代社会と人権,火5,飯田　玲子,全学生（総合教育部学生優先）,80,30,2,20,10,0,0,0
75F21.332,ＧＳ科目,現代社会と人権,水2,飯田　玲子,全学生（総合教育部学生優先）,80,155,29,107,38,9,1,0
75F21.342,ＧＳ科目,現代社会と人権（英語クラス）,木2,飯田　玲子,全学生（総合教育部学生優先）,30,15,3,8,7,0,0,0
75F21.343,ＧＳ科目,現代社会と人権（英語クラス）,木3,飯田　玲子,全学生（総合教育部学生優先）,30,14,0,9,4,1,0,0
76213.01,自由履修科目,ゼミ／漢文史料読解Ｂ,金5,古畑　徹,全学生（2019年度以前入学者履修登録用）,30,0,0,0,0,0,0,0
76411.01,自由履修科目,ドイツ語Ａ（充実クラスⅠ）,月5,早川　文人,１年生優先（2016年度以前入学生履修登録用）,30,0,0,0,0,0,0,0
76412.01,自由履修科目,ドイツ語Ａ（充実クラスⅡ）,水2,KLACANSKAJANA,１年生優先（2016年度以前入学生履修登録用）,30,0,0,0,0,0,0,0
76413.01,自由履修科目,フランス語Ａ（充実クラスⅠ）,水2,阪上　るり子,１年生優先（2016年度以前入学生履修登録用）,30,0,0,0,0,0,0,0
76415.01,自由履修科目,中国語Ａ（充実クラスⅠ）,月5,西村　英希,１年生優先（2016年度以前入学生履修登録用）,30,0,0,0,0,0,0,0
76416.01,自由履修科目,中国語Ａ（充実クラスⅡ）,水2,趙　菁,１年生優先（2016年度以前入学生履修登録用）,30,0,0,0,0,0,0,0
7641a,自由履修科目,ドイツ語Ａ（充実クラスⅠ-１）,月5,早川　文人,１年生優先,30,23,1,23,0,0,0,0
7642a,自由履修科目,ドイツ語Ａ（充実クラスⅡ-１）,水2,KLACANSKAJANA,１年生優先,30,8,0,6,2,0,0,0
7643a,自由履修科目,フランス語Ａ（充実クラスⅠ-１）,水2,阪上　るり子,１年生優先,30,3,0,2,1,0,0,0
7645a,自由履修科目,中国語Ａ（充実クラスⅠ-１）,月5,西村　英希,１年生優先,30,18,1,16,1,1,0,0
7646a,自由履修科目,中国語Ａ（充実クラスⅡ-１）,水2,趙　菁,１年生優先,30,16,0,15,1,0,0,0
76A10a.332,ＧＳ科目,インテグレーテッド科学（物理の世界）,水2,藤竹　正晴,全学生（総合教育部学生優先）,48,262,142,226,31,4,1,0
76A10a.342,ＧＳ科目,インテグレーテッド科学（物理の世界）,木2,藤間　崇,全学生（総合教育部学生優先）,48,183,102,148,22,11,2,0
76A10a.352,ＧＳ科目,インテグレーテッド科学（物理の世界）（英語クラス）,金2,藤間　崇,全学生（総合教育部学生優先）,48,120,56,98,21,1,0,0
76A10b.312,ＧＳ科目,インテグレーテッド科学（化学の世界）,月2,佐藤　渉,全学生（総合教育部学生優先）,60,139,73,116,22,1,0,0
76A10b.322,ＧＳ科目,インテグレーテッド科学（化学の世界）,火2,山口　孝浩,全学生（総合教育部学生優先）,60,123,66,98,19,6,0,0
76A10b.342,ＧＳ科目,インテグレーテッド科学（化学の世界）,木2,山下　哲,全学生（総合教育部学生優先）,60,168,81,114,44,7,2,1
76A10b.343,ＧＳ科目,インテグレーテッド科学（化学の世界）（英語クラス）,木3,三橋　了爾,全学生（総合教育部学生優先）,60,78,14,53,22,3,0,0
76A10b.352,ＧＳ科目,インテグレーテッド科学（化学の世界）（英語クラス）,金2,三橋　了爾,全学生（総合教育部学生優先）,60,64,5,31,23,10,0,0
76B10.315,ＧＳ科目,AI入門,月5,八柳　祐一,全学生（総合教育部学生優先）,60,422,205,406,16,0,0,0
76B10.325,ＧＳ科目,AI入門,火5,八柳　祐一,全学生（総合教育部学生優先）,60,316,176,311,5,0,0,0
76B10.335,ＧＳ科目,AI入門,水5,八柳　祐一,全学生（総合教育部学生優先）,60,332,177,308,22,2,0,0
76B10.344,ＧＳ科目,AI入門（英語クラス）,木4,八柳　祐一,全学生（総合教育部学生優先）,60,134,63,94,31,9,0,0
76B10.355,ＧＳ科目,AI入門（英語クラス）,金5,八柳　祐一,全学生（総合教育部学生優先）,60,89,44,81,8,0,0,0
76C10.313,ＧＳ科目,情報の科学,月3,WENGWEI,全学生（総合教育部学生優先）,60,338,165,248,54,33,3,0
76C10.314,ＧＳ科目,情報の科学,月4,WENGWEI,全学生（総合教育部学生優先）,60,305,154,224,69,12,0,0
76C10.31a,ＧＳ科目,情報の科学,月4,平野　晃宏,全学生（総合教育部学生優先）,60,285,135,186,88,8,3,0
76C10.343,ＧＳ科目,情報の科学（英語クラス）,木3,WENGWEI,全学生（総合教育部学生優先）,60,166,85,151,13,2,0,0
76C10.344,ＧＳ科目,情報の科学（英語クラス）,木4,WENGWEI,全学生（総合教育部学生優先）,60,106,29,77,20,9,0,0
76D10.313,ＧＳ科目,デザイン思考入門,月3,秋田　純一,全学生（総合教育部学生優先）,80,414,203,287,110,13,3,1
76D10.31a,ＧＳ科目,デザイン思考入門,月3,林　透,全学生（総合教育部学生優先）,60,351,149,210,104,31,5,1
76E10a.334,ＧＳ科目,論理学と数学の基礎（論理学から見る世界）,水4,黒川　英徳,全学生（総合教育部学生優先）,70,197,82,164,31,2,0,0
76E10a.335,ＧＳ科目,論理学と数学の基礎（論理学から見る世界）,水5,黒川　英徳,全学生（総合教育部学生優先）,70,100,22,75,24,1,0,0
76E10a.344,ＧＳ科目,論理学と数学の基礎（論理学から見る世界）（英語クラス）,木4,黒川　英徳,全学生（総合教育部学生優先）,70,15,1,7,7,1,0,0
76E10b.333,ＧＳ科目,論理学と数学の基礎（数学的発想法）,水3,永野　中行,全学生（総合教育部学生優先）,70,189,82,111,67,6,4,1
76E10b.33a,ＧＳ科目,論理学と数学の基礎（数学的発想法）,水3,長谷川　和志,全学生（総合教育部学生優先）,70,166,85,120,36,9,0,1
76E10b.342,ＧＳ科目,論理学と数学の基礎（数学的発想法）,木2,大浦　学,全学生（総合教育部学生優先）,70,173,86,125,35,12,1,0
